Category,Subcategory,Scope,Rank,Player,Value,Context,IsActive
"Average Points per Game","Averages","All-Time (Reg and Post Season)",1,"Michael",2.06,"35 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",2,"Austin",2.03,"33 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",3,"Cody",2.00,"20 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",4,"Nick",1.94,"33 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",5,"Rachel M",1.81,"26 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",6,"Richie",1.74,"35 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",7,"Ashley",1.66,"32 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",8,"Sam",1.63,"19 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",9,"Jack M",1.60,"25 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",9,"Ian",1.60,"20 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",11,"Rachel F",1.55,"31 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",12,"Brian",1.50,"2 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",13,"Luke",1.38,"13 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",14,"Brittany",1.33,"12 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",15,"Dan",1.29,"31 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",16,"Carly",1.27,"26 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",16,"Josh",1.27,"30 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",18,"Tyler",1.17,"24 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",18,"Jennie",1.17,"6 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",20,"Jack C",1.08,"12 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",21,"Ryan",1.00,"31 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",21,"Becca",1.00,"6 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",23,"Steve",0.92,"24 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",24,"Emma",0.78,"18 games",false
"Average Points per Game","Averages","All-Time (Reg and Post Season)",25,"Allie",0.75,"16 games",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",1,"Michael",48.6%,"17/35",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",2,"Austin",42.4%,"14/33",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",3,"Nick",39.4%,"13/33",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",4,"Cody",35.0%,"7/20",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",4,"Ian",35.0%,"7/20",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",6,"Richie",34.3%,"12/35",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",7,"Sam",31.6%,"6/19",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Luke",30.8%,"4/13",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Rachel M",30.8%,"8/26",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",10,"Rachel F",29.0%,"9/31",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",11,"Carly",26.9%,"7/26",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Ashley",25.0%,"8/32",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",13,"Josh",23.3%,"7/30",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",14,"Jack M",20.0%,"5/25",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",15,"Jennie",16.7%,"1/6",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",15,"Brittany",16.7%,"2/12",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Dan",16.1%,"5/31",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",18,"Ryan",12.9%,"4/31",false
"% of 1st Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",19,"Jack C",8.3%,"1/12",false
